Section 1 Header,Timestamp,Species,Location Header,GMU,County,District,Area,Region,Same Address,Incident Header,Incident Date,Incident Time,Complaint Type,Type of Property Damage,Service Provided,Hazing Method,Animal Data,Previous Ear Tag?,Ear Tag Side,Ear Tag Color,Ear Tag Number,Previous PIT tag #,Previous Collar,Sex,Age,Color,Further Response,Staff Assigned,Site Inspection Heading,Violation,Violation Action,Citation #,Marked Animal Heading,Capture Method,New Ear Tag Color,New Ear Tag Number,New PIT Tag (Dec),New Collar,Collar Manufacturer,Collar Type,Collar Frequency,Collar Code,Collar Serial #,Release Header,Release Date,Release Location,Seal #,Photos?,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Comments,Total Incidents
Bear/Lion Incident Report,7/14/2020 15:58,Black Bear,Incident Location,29,Boulder,128 - Boulder S,Area 02,NE,Y,Incident Information,7/14/2020,1:00:00 PM,"Food Source Property Damage , Sighting",Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,5/20/2020 14:37,Black Bear,Incident Location,84,Custer,224 - Westcliffe,Area 11,SE,Y,Incident Information,5/12/2020,1:00:00 PM,Sighting,,"Advice/Phone Call , Site Inspection , Hazed , Pyrotechnics","Pepper Spray , Less lethal round",N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"RP sent Krall a video of a small brown/cinnamon bear on the upper deck of the house leaning on the glass door.  RP said there are two bears about the same size, one darker brown.  He said they are hanging around the house pretty regular and do not show much fear.  RP suspects the people he had been renting the house to had been feeding them.  Krall has tried repeatedly to contact the renters and will continue to track them down.  Krall issued the RP rubber slugs, set a spray barrel and bear mat, and used Wildlife Services hounds to try and haze the bears.",
Bear/Lion Incident Report,7/16/2020 8:49,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,,Incident Information,7/16/2020,8:49:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/24/2020 18:35,Black Bear,Incident Location,39,Clear Creek,527 - Idaho Spgs,Area 01,NE,Y,Incident Information,8/22/2020,9:35:00 PM,Food Source Property Damage,"Trash , Vehicles , Outside Food Source , Other","Advice/Phone Call , Educational Materials",,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/16/2020 13:22,Black Bear,Incident Location,70,San Miguel,385 - Ridgeway,Area 18,SW,Y,Incident Information,7/16/2020,1:22:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/20/2020 12:49,Black Bear,Incident Location,77,Archuleta,325 - Pagosa Spgs W,Area 15,SW,Y,Incident Information,8/19/2020,11:00:00 PM,Non-Food Property Damage,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/4/2020 15:11,Black Bear,Incident Location,66,Gunnison,343 - Lake City,Area 16,SW,,Incident Information,8/20/2020,12:00:00 PM,"Food Source Property Damage , Non-Food Property Damage , Sighting","Outside Food Source , Other",Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/22/2020 9:01,Black Bear,Incident Location,123,Pueblo,221 - Pueblo W,Area 11,SE,Y,Incident Information,6/22/2020,9:01:00 AM,Sighting,,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/28/2020 9:17,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,9/26/2020,11:17:00 AM,Food Source Property Damage,Orchards/Growing Crops,Advice/Phone Call,,Y,N,,,,,,Unknown,Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/9/2020 16:36,Black Bear,Incident Location,104,Douglas,549 - Parker,Area 05,NE,Y,Incident Information,10/9/2020,2:30:00 AM,Food Source Property Damage,Trash,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/8/2020 19:37,Black Bear,Incident Location,57,Chaffee,262 - Salida E,Area 13,SE,Y,Incident Information,7/7/2020,3:00:00 AM,Food Source Property Damage,Trash,"Advice/Phone Call , Site Inspection",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"WL 261 got a call from Chaffee County dispatch at 3:30am the night of the incident stating that a bear was getting into the RP’s trash, but was not attempting to get into the house. WL 261 called the RP and she stated the bear had left but that it had gotten close to her house since she puts the trash close to her house. She also stated she had the window open and was scared for her and her child. WL 261 recommended a few ways she could make her trash more bear resistant and informed her how she could haze the bear with noise if it ever returned. She asked if we would trap the bear and WL 261 stated at this time that CPW would not but asked if she would be ok with placing a pepper barrel on her property for a few nights to try and haze the bear if it came back. She stated that she would very much like that. WL 261 called the RP on 07/08/2020 to set up a time to place the pepper barrel on the property, but has not yet received a call back.",
Bear/Lion Incident Report,7/8/2020 9:45,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,7/7/2020,9:45:00 PM,Food Source Property Damage,Other,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/24/2020 13:38,Black Bear,Incident Location,43,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,6/23/2020,6:00:00 AM,"Food Source Property Damage , Sighting",Outside Food Source,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/16/2020 17:01,Black Bear,Incident Location,691,Fremont,265 - Canon City S,Area 13,SE,Y,Incident Information,8/16/2020,3:01:00 AM,Food Source Property Damage,"Trash , Outside Food Source , Livestock","Advice/Phone Call , Site Inspection , Trap Set , Educational Materials",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmVkMjJmNDRjLlBob3RvJTIwMS4wMzEwNTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTk0NGVjNjJiNDZiNGQzMTA5ZmZkN2Y5ZjIyZjAwZjI5MTkxMTU4ZjBkY2JkNDY0OTU0MThkZDQ4OTdlYzhkMDA2N2I3NDAwZjhkMzllMWU2NDhiMGExOWU2OWU3N2EyZg==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmVkMjJmNDRjLlBob3RvJTIwMi4wMzEwNTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTIxNjBmMGM1MjE3YzYxODI2NTRlNmJhODE4MTM0NTBjZjRmMDgyOTgzMDNlMDM2YjAxMjBhMGVmNTU2MDAzZTExODY4YjA1MDVlZWZlNDZlNzdjZWVjYmFlNjI2YzY2OA==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmVkMjJmNDRjLlBob3RvJTIwMy4wMzEwNTIuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTM1ZDNhMDYzMzcyYTQ1NTZjMDhjZGE0NWM2NWM2Y2ZlYWMwY2I2ZWQyNTgxOWEwMTY0OWFhZjgzZmZhYWRkOTAxNmZiMDc5MzFiOGQwODdiMzJlM2NhMDQxMjdjYmM0Zg==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmVkMjJmNDRjLlBob3RvJTIwNC4wMzEwNTUuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWVlNjc1MzhhOWNkOTRhMDNmNTllZDYzNDEzNGU4OGEwYWRlYmI2YjQyNjQ1MjViM2MyNjU0MWM2OTJlZjllOGQxNDJkODBlNjAyYTMyN2M3YjdkNGQ1NTgwZTEyOTM2Yw==&w=600,,"Bear went in back yard and killed free range chickens, got into trash etc.  Set a pepper spray barrel.  Performed a site inspection and recommended securing chickens and ducks in enclosed pen at night and electrifying the pen, clean up feed bags and place them in locked container, secure trash cans, remove other attractants from their yard.  House is located in quality bear habitat so future conflicts are imminent if they continue to leave food and trash out.  Gave them a Living with Bears pamphlet for further bear aware recommendations.  I’ll return to pick up spray barrel in 3-4 days.  Asked RP to call if they have any further conflicts.  Made sure to warn the RP of the importance of keeping her children and pets away from the spray barrel. Wore mask during entire contact and maintained social distancing where possible.",
Bear/Lion Incident Report,8/30/2020 14:09,Black Bear,Incident Location,30,Mesa,445 - Palisade,Area 07,NW,Y,Incident Information,8/30/2020,8:30:00 AM,Sighting,,"Advice/Phone Call , Site Inspection",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,"Black colored 2-3 year old bear entered RP’s yard from an irrigation canal trail. Bear moved south. Parks Officer Kathleen Fisher and I watched the bear swim across Corn Lake, cross 32 Road, and move into the Colorado River riparian zone east of 32 Road. The bear was not seen after that.",
Bear/Lion Incident Report,8/14/2020 14:45,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,8/14/2020,4:00:00 AM,Non-Food Property Damage,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,6/22/2020 9:58,Black Bear,Incident Location,51,Douglas,544 - Castle Rock W,Area 05,NE,Y,Incident Information,6/21/2020,9:00:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmJkNGJkMGE2LlBob3RvJTIwMS4xNjE2NDUuSlBHJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTNkYWY4YzJjZDU5OTlhNjA4NWQ5YmQ2MmEwYjNiMTUzOTVjYWI0MTRiZjI5ZTIwNDE3YzRjY2I1Y2U4MTk1ODViYzgyYTlhNTAwOWNjNWRjYmIxMGQwNzZlNDEzMjA4NQ==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmJkNGJkMGE2LlBob3RvJTIwMi4xNjE2NDUuSlBHJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTk1MmQyNWE0NmY2MjY2YzViNzg3ZjVmZmFjNDNmNWE2ZTZjNTE5Yjg4MmRiZTViZmYyMzA4NjFlNTJjOTNhYzkzZTc3MzAxMjY3MDA2ZThmYmNhYzQwM2YyMDI3Zjg0NA==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRmJkNGJkMGE2LlBob3RvJTIwMy4xNjE2NDUuSlBHJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWNmMGM3ZWJmZDExN2Q3OTYzNDQxMTA1ZmI2MmI3MWQ4NDIyMTllZDI1ZTkwZDk4ZTNjNzlkZTZmYmZjOWY0MDZkM2JjMTZiODAwYzA3ZjZkZjg5MTRlOTU3MzExMjVlNQ==&w=600,,,,
Bear/Lion Incident Report,7/10/2020 9:49,Black Bear,Incident Location,14,Routt,493 - Steamboat S,Area 10,NW,Y,Incident Information,7/9/2020,9:49:00 AM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/20/2020 13:54,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,10/20/2020,1:20:00 PM,Sighting,,Advice/Phone Call,,Y,N,,,,,,Unknown,Adult,Brown,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/31/2020 8:54,Black Bear,Incident Location,45,Eagle,468 - Vail,Area 08,NW,Y,Incident Information,7/18/2020,12:03:00 PM,"Food Source Property Damage , Sighting",Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/24/2020 10:30,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,9/24/2020,1:00:00 AM,"Food Source Property Damage , Sighting",Trash,Advice/Phone Call,,Y,,,,,,,Unknown,Adult,Black,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,9/22/2020 9:21,Black Bear,Incident Location,45,Eagle,468 - Vail,Area 08,NW,Y,Incident Information,9/22/2020,5:50:00 AM,"Food Source Property Damage , Sighting",Outside Food Source,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,10/22/2020 9:06,Black Bear,Incident Location,43,Pitkin,462 - Aspen,Area 08,NW,Y,Incident Information,10/22/2020,3:13:00 AM,Food Source Property Damage,Trash,No Action,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,8/28/2020 16:14,Black Bear,Incident Location,511,El Paso,284 - C Spgs NW,Area 14,SE,Y,Incident Information,8/26/2020,4:14:00 PM,Food Source Property Damage,Other,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/21/2020 11:33,Black Bear,Incident Location,73,Montezuma,327 - Cortez,Area 15,SW,Y,Incident Information,7/19/2020,11:33:00 PM,Food Source Property Damage,"Trash , Outside Food Source","Advice/Phone Call , Site Inspection , Trap Set , Euthanized",,Y,N,,,,,,Male,Adult,Brown,N,,Site Inspection,Y,Verbal Warning,,,,,,,,,,,,,,,,,N,,,,,,Bear was getting feed putout for birds. Entered garage and pulled out several bags of feed. Bear came back 5 nights in row and entered garage. 327 set trap and caught bear on third night set. This may have been the bear that enter a house a few night before being trapped.,
Bear/Lion Incident Report,6/24/2020 21:04,Black Bear,Incident Location,69,Fremont,265 - Canon City S,Area 13,SE,Y,Incident Information,6/24/2020,1:30:00 AM,Food Source Property Damage,"Trash , Outside Food Source , Pets","Advice/Phone Call , Site Inspection , Pyrotechnics",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,Bear came in and got into the dumpster and pulled trash out.  Rp feeds 4 cats on the porch.  Cat food cans were in the trash dumpster.  Hummingbird feeders were also hanging outside.  WL 264 recommended not putting out the hummingbird feeders.  Recommended cleaning up immediately after the cats were fed and bringing food bowls inside so there were no outside attractants on the deck.  Helped RP put ratchet straps over the lids of the dumpster.  Gave her 3 rounds of rubber buck and did a release form.  Gave her my card and asked her to call if she had anymore conflicts with the bear.,
Bear/Lion Incident Report,9/3/2020 16:56,Black Bear,Incident Location,24,Rio Blanco,426 - Meeker N,Area 06,NW,N,Incident Information,9/1/2020,4:56:00 PM,Food Source Property Damage,Livestock,"Advice/Phone Call , Site Inspection",,N,,,,,,,,,,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,N,,,,,,Bear killed 1 ewe and 2 lambs,
Bear/Lion Incident Report,10/16/2020 12:19,Black Bear,Incident Location,59,El Paso,287 - C Spgs SW,Area 14,SE,Y,Incident Information,10/16/2020,12:19:00 PM,Sighting,,Advice/Phone Call,,Y,,,,,,,Female,Adult,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bear/Lion Incident Report,7/24/2020 19:24,Black Bear,Incident Location,39,Jefferson,525 - Evergreen,Area 01,NE,Y,Incident Information,7/24/2020,12:00:00 AM,Food Source Property Damage,Livestock,"Advice/Phone Call , Site Inspection , Trap Set , Euthanized",,Y,N,,,,,,Male,Adult,Brown,N,,Site Inspection,N,,,,,,,,,,,,,,,,,,Y,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUzYjU2OGU3LlBob3RvJTIwMS4wMTI3MjMuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWFlYjkxZmJhN2JhYzFkNjNiYTI4NWUwY2I1MDUwNjYzZmNhYjdiMmYwZTQ1NzczMGVhNjUzZTc5OGJlZjA2ZGE5YjliYjFlNWM1NWJlYTY3NWI4YTU3YTlmZTU3M2VlYw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUzYjU2OGU3LlBob3RvJTIwMi4wMTI3MjMuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTZiODUzY2Q0OTZiOWI0MWU0Y2E5ZDIwYzQ2N2IwNjgzNjExYTcxY2UwMjk0NDBkMDcxZWFmZmM0MWJiNDg3ZGIxMDhlNGQ4ZjYzY2I2ZjBlNWUzODBkYTY3MjU0ZTA1MA==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUzYjU2OGU3LlBob3RvJTIwMy4wMTI3MjMuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTUxMjY3NDE1MWE4MGRlZDhhYmUyN2UyMjMwY2RkYWExZDQxYmI3ODdhMjVlNmQ0NDk3MGFhN2ZlY2QxNTczNGQwODA2ZTVlMWEwYjg5MjE0NzllN2YyYTVlN2VhNTg4Nw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUzYjU2OGU3LlBob3RvJTIwNC4yMTA1NTYuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPWIzODM5ZWY1ZDhiNWY4YThhOWY0NjEwZmViMDYyZmMwMjlmYWExOTYyZjg5ZjQ5M2ExMzlkZWYxODI4OTRmZGY1N2M2ZDZlM2QyY2YwMzE1MTkyYjc4MzE1MjlmNTg1Nw==&w=600,https://www.appsheet.com/get/?i=YXBwTmFtZT1RdWVyaWVzLTg2Mzc1JnRhYmxlTmFtZT1Db25mbGljdHMmZmlsZU5hbWU9Q29uZmxpY3RzX0ltYWdlcyUyRjUzYjU2OGU3LlBob3RvJTIwNS4yMTA1NTYuanBnJmFwcFZlcnNpb249MS4wMDAzMjAmc2lnbmF0dXJlPTM1YzEzNDUxNzhkZTVmMDhmYTVjYmNjMTc5ZGE3NTgxNjI0ODNhYmJhNTFkNmM3Mjk2NjVhMTEzYThkZmQxYTgwMjkwZWM3YmNkMjJjMjNkYmM3ODBmMTFmMjE2MDJkMw==&w=600,"RP reported that this morning he discovered a bear had killed approximately 12 chickens overnight and two of his goats were missing. WL521 responded and observed bear scat and 8 chicken carcasses inside of a coup. WL521 set a bear trap adjacent to the coup. No blood,  drag marks or other sign of a dead or injured goat was located. RP agreed that the goats had probably run off while the bear was attacking the chickens. Goats had been in a fenced pen. WL521 advised RP that electric fencing would be the long term solution but RP stated,  ""the last guy said that but it's too expensive."" WL521 confirmed with both WL525 and WL524 that they had contacted the RP in the past and advised him that electric fencing would remedy the bear conflict occurring at the property.

Nicholson drove to property on 7/31 to remove trap. Upon 10:00am arrival, trap door was shut and Nicholson found an adult dark brown bear inside trap. RP had never called to advise Bear was in trap. Bear matches description of bear depredating and causing problems at neighboring  homes. RP said he believed it was same bear that depredated his livestock. RP said a smaller cinnamon colored bear is still hanging around and asked what Nicholson would do with it. Nicholson told RP he was not removing another bear from property and RP needed to construct an electric fence as he had been told in past by wildlife officers.  Nicholson gave RP handouts with  material lists and directions for building a proper electric fence to keep bears away from his livestock. RP said he would do so. 

Nicholson euthanized bear at CPW property. Bear was adult male, dark chocolate brown, about 200 lbs, had bird seed in stomach, had numerous size 7.5 and size 2 shot pellets in fat throughout body. Bear was skinned and seal #33685 affixed. Entered by Nicholson on 7/31/2020.",
Bear/Lion Incident Report,9/1/2020 19:58,Black Bear,Incident Location,42,Garfield,442 - Rifle S,Area 07,NW,,Incident Information,8/31/2020,7:00:00 PM,Sighting,,Advice/Phone Call,,N,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,
